row_idx,user_id,session_id,window_idx,window_start,window_end,dual_task_file,dual_task_available,dual_task_count,reaction_time_mean,reaction_time_median,reaction_time_std,reaction_time_min,reaction_time_max,miss_count,error_count,success_count,miss_rate,error_rate,success_rate,dual_task_load_absolute_prelim,dual_task_load_relative_prelim
0,dem,session_20260510_191823_9a2425,0,1778437103.4491117,1778437223.4491117,data\session_20260510_191823_9a2425\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
1,dem,session_20260510_191823_9a2425,1,1778437223.4491117,1778437343.4491117,data\session_20260510_191823_9a2425\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
2,dem,session_20260510_191823_9a2425,2,1778437343.4491117,1778437463.4491117,data\session_20260510_191823_9a2425\raw\dual_task.csv,true,1,2282.99,2282.99,0.0,2282.99,2282.99,0,0,1,0.0,0.0,1.0,0.4028690563525938,0.4337936521437234
3,dem,session_20260510_191823_9a2425,3,1778437463.4491117,1778437583.4491117,data\session_20260510_191823_9a2425\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
4,dem,session_20260510_191823_9a2425,4,1778437583.4491117,1778437703.4491117,data\session_20260510_191823_9a2425\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
5,dem,session_20260510_191823_9a2425,5,1778437703.4491117,1778437823.4491117,data\session_20260510_191823_9a2425\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
6,dem,session_20260510_191823_9a2425,6,1778437823.4491117,1778437943.4491117,data\session_20260510_191823_9a2425\raw\dual_task.csv,true,1,1914.35,1914.35,0.0,1914.35,1914.35,0,0,1,0.0,0.0,1.0,0.33467439001690275,0.3673428940341751
7,dem,session_20260510_191823_9a2425,7,1778437943.4491117,1778438063.4491117,data\session_20260510_191823_9a2425\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
8,dem,session_20260510_191823_9a2425,8,1778438063.4491117,1778438183.4491117,data\session_20260510_191823_9a2425\raw\dual_task.csv,false,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan
9,dem,session_20260510_191823_9a2425,9,1778438183.4491117,1778438303.4491117,data\session_20260510_191823_9a2425\raw\dual_task.csv,true,1,2849.3,2849.3,0.0,2849.3,2849.3,0,0,1,0.0,0.0,1.0,0.4865551034295017,0.5097589687720887
