row_idx,session_id,user_id,device_id,window_id,window_start,window_end,graph_path,mouse_n_native_embeddings,keyboard_n_native_embeddings,notif_source,switching_graph_id,fallback_mouse,fallback_keyboard,fallback_notif,fallback_switching,fallback_reason_mouse,fallback_reason_keyboard,fallback_reason_notif,fallback_reason_switching
0,session_20260510_191823_9a2425,dem,browser_mp03ekmbeazr37,w000000,1778437103.4491117,1778437223.4491117,data\session_20260510_191823_9a2425\data_graph\data_graph_120s\graph_001.json,8,0,onnx,w000000,False,True,False,False,,few_keystrokes(1),,
1,session_20260510_191823_9a2425,dem,browser_mp03ekmbeazr37,w000001,1778437223.4491117,1778437343.4491117,data\session_20260510_191823_9a2425\data_graph\data_graph_120s\graph_002.json,0,0,onnx,w000001,True,True,False,False,few_events(0),few_keystrokes(0),,
2,session_20260510_191823_9a2425,dem,browser_mp03ekmbeazr37,w000002,1778437343.4491117,1778437463.4491117,data\session_20260510_191823_9a2425\data_graph\data_graph_120s\graph_003.json,5,0,onnx,w000002,False,True,False,False,,few_keystrokes(3),,
3,session_20260510_191823_9a2425,dem,browser_mp03ekmbeazr37,w000003,1778437463.4491117,1778437583.4491117,data\session_20260510_191823_9a2425\data_graph\data_graph_120s\graph_004.json,5,0,onnx,w000003,False,True,False,False,,few_keystrokes(0),,
4,session_20260510_191823_9a2425,dem,browser_mp03ekmbeazr37,w000004,1778437583.4491117,1778437703.4491117,data\session_20260510_191823_9a2425\data_graph\data_graph_120s\graph_005.json,9,3,onnx,w000004,False,False,False,False,,,,
5,session_20260510_191823_9a2425,dem,browser_mp03ekmbeazr37,w000005,1778437703.4491117,1778437823.4491117,data\session_20260510_191823_9a2425\data_graph\data_graph_120s\graph_006.json,4,3,onnx,w000005,False,False,False,False,,,,
6,session_20260510_191823_9a2425,dem,browser_mp03ekmbeazr37,w000006,1778437823.4491117,1778437943.4491117,data\session_20260510_191823_9a2425\data_graph\data_graph_120s\graph_007.json,1,0,onnx,w000006,False,True,False,False,,few_keystrokes(0),,
7,session_20260510_191823_9a2425,dem,browser_mp03ekmbeazr37,w000007,1778437943.4491117,1778438063.4491117,data\session_20260510_191823_9a2425\data_graph\data_graph_120s\graph_008.json,2,0,onnx,w000007,False,True,False,False,,few_keystrokes(2),,
8,session_20260510_191823_9a2425,dem,browser_mp03ekmbeazr37,w000008,1778438063.4491117,1778438183.4491117,data\session_20260510_191823_9a2425\data_graph\data_graph_120s\graph_009.json,2,0,onnx,w000008,False,True,False,False,,few_keystrokes(0),,
9,session_20260510_191823_9a2425,dem,browser_mp03ekmbeazr37,w000009,1778438183.4491117,1778438303.4491117,data\session_20260510_191823_9a2425\data_graph\data_graph_120s\graph_010.json,1,0,onnx,w000009,False,True,False,False,,few_keystrokes(0),,
10,session_20260510_191823_9a2425,dem,browser_mp03ekmbeazr37,w000010,1778438303.4491117,1778438423.4491117,data\session_20260510_191823_9a2425\data_graph\data_graph_120s\graph_011.json,0,0,onnx,w000010,True,True,False,False,few_events(0),few_keystrokes(0),,
