device_id,user_id
browser_molyfx8zeb2zr1,mohanned
browser_mp03ekmbeazr37,dem
browser_mp835qq4j4kymt,browser_mp835qq4j4kymt
browser_mp86g429xypxnh,amrdroid
browser_mp8quvqu5u5czy,browser_mp8quvqu5u5czy
browser_mpmxdcv6sijyrd,ghoss
device_38967b2d,ignorant
device_40b49969,ladabos
device_6dd3e3f6,hffz
device_6efd56b1,Graja
device_740f6f87,hffz
device_8cab9b42,layss
device_9474033c,layss
device_ac8d6b93,hffz
device_be280f64,Makki
device_d4ac2308,layss
device_ed2ee66a,layss
device_efa45cfc,device_efa45cfc
device_f8d89130,layss
